Team,Rating
UMBC,-11.56
Weber State,-11.71
Utah Tech,-12.06
Charleston Southern,-12.13
Tennessee Tech,-12.28
Boston University,-12.35
Loyola Maryland,-12.42
Farleigh Dickinson,-12.5
Delaware State,-12.55
Long Beach State,-12.56
Saint Francis,-12.76
Air Force,-12,76
Denver,-12.79
Indiana (Indianapolis),-12.98
Louisiana,-13.2
Howard,-13.27
Rider,-13.31
Eastern Illinois,-13.31
Florida A&M,-13.62
Army,-13.67
Grambling State,-13.72
Binghampton,-13.97
Holy Cross,-13.99
Niagara,-14.15
Stonehill,-14.24
North Carolina Central,-14.41
Alcorn State,-14.52
East Texas A&M,-14.59
Lindenwood,-14.66
Morehead St,-14.69
Coastal Carolina,-14.84
Oral Roberts,-15.03
Morgan State,-15.46
Green Bay,-15.72
Stony Brook,-15.87
Fairfield,-16.01
Southern Indiana,-16.49
North Carolina A&T,-16.53
Detroit Mercy,-16.67
Western Carolina,-16.99
Buffalo,-17.44
USC Upstate,-17.59
New Orleans,-17.83
Mercyhurst,-17.89
Northern Illinois,-17.91
Louisiana Monroe,-18.1
Western Illinois,-18.12
Wagner,-18.14
Bellarmine,-18.18
Sacramento State,-18.24
Central Arkansas,-18.65
West Georgia,-18.79
California State Fullerton,-18.87
Stetson,-19.8
New Jersey Institute of Technology,-20.41
Le Moyne,-20.7
The Citadel,-21.7
New Hampshire,-21.72
Prarie View A&M,-21.97
Maryland Eastern Shore,-22.62
Canisius,-23.01
Alabama A&M,-23.36
Coppin State,-24.4
Chicago State,-24.4
Arkansas Pine Bluff,-25.94
Mississippi Valley State,-42.12
